City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
186,Florianopolis,BR,-27.6146,-48.5012,69.03,67,75,9.22,broken clouds
187,Nikolskoye,RU,59.7035,30.7861,18.01,84,100,10.56,overcast clouds
188,Port Moresby,PG,-9.4431,147.1797,81.82,78,20,6.91,few clouds
189,Olafsvik,IS,64.8945,-23.7142,35.65,71,98,18.23,overcast clouds
190,Matay,EG,28.419,30.7792,61.11,44,100,3.78,overcast clouds
191,Malakal,SS,9.5334,31.6605,79.38,32,3,5.37,clear sky
192,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,73,40,5.75,scattered clouds
193,Lashio,MM,22.9333,97.75,56.73,99,15,1.19,few clouds
194,Juneau,US,58.3019,-134.4197,35.6,92,90,11.5,snow
195,Abu Kamal,SY,34.4506,40.9171,52.34,58,3,3.36,clear sky
196,Jinji,CN,23.2281,110.8261,57.99,72,0,2.37,clear sky
197,Kingston,JM,17.997,-76.7936,85.15,58,20,12.66,few clouds
198,Latung,PH,5.5,120.8833,80.94,81,89,2.44,overcast clouds
199,Sekoma,BW,-24.4,23.8833,75.43,56,100,4.36,overcast clouds
200,Mahebourg,MU,-20.4081,57.7,77.29,78,20,2.3,few clouds
201,Cordoba,AR,-31.4135,-64.1811,74.59,88,0,9.22,clear sky
202,Birin,NP,26.8865,88.0718,46.06,73,0,4.81,clear sky
203,Isangel,VU,-19.55,169.2667,86.11,74,75,4.61,broken clouds
204,Bontang,ID,0.1333,117.5,76.55,92,97,7.99,overcast clouds
205,Pangnirtung,CA,66.1451,-65.7125,1.4,92,90,4.61,light snow
206,Buala,SB,-8.145,159.5921,83.57,79,99,7.4,light rain
207,Weligama,LK,5.9667,80.4167,74.44,90,88,6.82,overcast clouds
208,Otjimbingwe,NA,-22.35,16.1333,80.55,25,97,2.08,overcast clouds
209,Lebu,CL,-37.6167,-73.65,57.51,86,46,9.35,scattered clouds
210,Sakaiminato,JP,35.55,133.2333,46.38,100,75,0.0,broken clouds
211,Xai-Xai,MZ,-25.0519,33.6442,75.74,85,79,8.46,broken clouds
212,Saint Cloud,US,45.5608,-94.1625,29.89,90,90,1.01,mist
213,Mocoa,CO,1.1493,-76.6466,74.62,98,100,1.39,overcast clouds
214,Balakhninskiy,RU,58.0106,114.2769,1.22,93,100,6.98,overcast clouds
215,Yeppoon,AU,-23.1333,150.7333,82.18,68,0,7.02,clear sky
216,Ballina,AU,-28.8667,153.5667,75.78,71,40,11.5,scattered clouds
217,Roshchino,RU,60.2519,29.6085,17.37,87,95,12.62,overcast clouds
218,Huilong,CN,31.8111,121.655,53.04,81,25,7.74,scattered clouds
219,Gigmoto,PH,13.7796,124.39,78.94,90,98,16.71,overcast clouds
220,Sakakah,SA,29.9697,40.2064,53.17,52,100,8.25,overcast clouds
221,Kavaratti,IN,10.5669,72.642,81.25,75,38,4.18,scattered clouds
222,Othaya,KE,-0.5652,36.9609,62.28,98,90,2.44,overcast clouds
223,Buraydah,SA,26.326,43.975,54.05,46,57,6.2,broken clouds
224,Northam,GB,51.0333,-4.2167,46.62,75,34,12.33,scattered clouds
225,Sitka,US,57.0531,-135.33,33.69,86,90,6.91,light rain
226,Fortuna,US,40.5982,-124.1573,53.85,67,1,4.0,clear sky
227,Ribeira Grande,PT,38.5167,-28.7,64.04,76,8,14.38,clear sky
228,Okha,RU,53.5739,142.9478,23.72,96,100,3.29,light snow
229,Tchibanga,GA,-2.85,11.0333,72.61,97,100,0.47,overcast clouds
230,San Cristobal,VE,7.7669,-72.225,69.98,92,97,2.77,overcast clouds
231,Sobolevo,RU,54.4299,31.8996,33.94,94,100,19.1,overcast clouds
232,Victoria,HK,22.2855,114.1577,69.33,75,100,1.99,overcast clouds
233,Lagoa,PT,39.05,-27.9833,63.32,80,5,15.28,clear sky
234,Piranhas,BR,-16.4269,-51.8222,81.25,61,98,2.46,overcast clouds
235,Oussouye,SN,12.485,-16.5469,73.58,59,100,4.94,overcast clouds
236,Larsnes,NO,62.2028,5.5773,33.01,75,16,5.64,few clouds
237,Bathsheba,BB,13.2167,-59.5167,79.41,73,20,12.66,few clouds
238,Grindsted,DK,55.754,8.9123,34.92,100,90,2.3,overcast clouds
239,Atar,MR,20.5169,-13.0499,67.55,13,81,9.84,broken clouds
240,Hurghada,EG,27.2574,33.8129,66.24,34,0,0.0,clear sky
241,Narasannapeta,IN,18.4167,84.05,70.88,88,1,5.84,clear sky
242,Taywarah,AF,33.35,64.4167,29.21,23,34,1.54,scattered clouds
243,Shimoda,JP,34.6667,138.95,47.1,70,51,3.13,broken clouds
244,Santa Cruz De La Palma,ES,28.6835,-17.7642,68.14,68,75,14.97,broken clouds
245,Luau,AO,-10.7073,22.2247,65.1,95,85,2.21,light rain
246,Saint-Augustin,CA,51.226,-58.6502,18.57,52,4,9.57,clear sky
247,Vardo,NO,70.3705,31.1107,21.4,89,100,26.49,light snow
248,Chilca,PE,-12.5211,-76.7372,67.84,88,87,7.74,overcast clouds
249,Bose,IT,45.4612,8.0137,32.31,84,100,3.44,overcast clouds
250,San Carlos,VE,9.6612,-68.5827,79.9,58,96,5.95,overcast clouds
251,Amazar,RU,53.858,120.875,1.83,99,97,2.04,overcast clouds
252,Tczew,PL,54.0924,18.7779,32.83,96,100,4.29,overcast clouds
253,Ancud,CL,-41.8697,-73.8203,65.73,80,90,9.26,overcast clouds
254,Bandarban,BD,22.1965,92.2262,62.38,89,0,2.75,clear sky
255,Aragarcas,BR,-15.8975,-52.2508,84.85,74,40,5.75,scattered clouds
256,Ust-Kut,RU,56.7938,105.7672,2.97,93,100,7.47,overcast clouds
257,Gogrial,SS,8.5332,28.1004,78.78,32,6,4.43,clear sky
258,Portland,US,45.5234,-122.6762,47.61,89,100,3.0,overcast clouds
259,San Felipe,VE,10.3399,-68.7425,70.61,88,31,4.21,scattered clouds
260,Saint-Georges,GD,12.0564,-61.7485,80.28,74,20,6.91,few clouds
261,Ostrovnoy,RU,68.0531,39.5131,20.62,78,100,27.31,overcast clouds
262,Saint George,US,37.1041,-113.5841,47.62,25,1,3.0,clear sky
263,Nouadhibou,MR,20.931,-17.0347,64.38,82,91,19.57,overcast clouds
264,Alta Floresta,BR,-9.8756,-56.0861,76.82,94,0,1.14,clear sky
265,Pascagoula,US,30.3658,-88.5561,76.05,95,66,11.7,broken clouds
266,Dunedin,NZ,-45.8742,170.5036,58.8,70,100,5.01,overcast clouds
267,Berlevag,NO,70.8578,29.0864,21.15,79,90,16.11,light shower snow
268,Norman Wells,CA,65.282,-126.8329,1.44,78,75,8.05,broken clouds
269,Farafangana,MG,-22.8167,47.8333,75.69,85,71,8.97,light rain
270,Khatanga,RU,71.9667,102.5,-42.2,100,100,5.41,overcast clouds
271,Aklavik,CA,68.2191,-135.0107,-0.4,85,75,10.36,broken clouds
272,Sept-Iles,CA,50.2001,-66.3821,15.06,84,90,4.0,light snow
273,Luderitz,NA,-26.6481,15.1594,60.19,91,0,9.84,clear sky
274,Carballo,ES,43.213,-8.691,53.91,93,83,4.81,broken clouds
275,Saskylakh,RU,71.9167,114.0833,-14.04,97,100,9.53,overcast clouds
276,Kadhan,PK,24.481,68.9859,62.98,24,0,7.72,clear sky
277,Mackay,AU,-21.15,149.2,87.67,83,4,4.61,clear sky
278,Fez,MA,34.0372,-4.9998,52.05,87,75,4.61,broken clouds
279,Borisoglebskiy,RU,57.2586,39.1508,-9.76,99,34,4.07,scattered clouds
280,Ilulissat,GL,69.2167,-51.1,11.44,72,100,6.85,overcast clouds
281,Geraldton,AU,-28.7667,114.6,70.21,73,5,5.75,clear sky
282,San Patricio,US,28.017,-97.5169,89.69,64,28,16.22,scattered clouds
283,Okhotsk,RU,59.3833,143.3,-12.93,86,28,9.93,scattered clouds
284,Panaba,MX,21.2833,-88.2667,82.81,48,1,11.88,clear sky
285,Port Keats,AU,-14.25,129.55,82.8,75,62,3.89,broken clouds
286,Idar,DE,49.7167,7.3,36.37,87,100,3.0,light rain
287,Dingle,PH,10.9995,122.6711,77.07,92,98,9.35,overcast clouds
288,Saint-Leu,RE,-21.15,55.2833,74.23,69,87,2.68,overcast clouds
289,Karakol,KG,42.4907,78.3936,16.0,53,4,7.31,clear sky
290,Kailua,US,21.4022,-157.7394,78.78,71,75,14.97,light rain
291,Port Elizabeth,ZA,-33.918,25.5701,69.1,100,75,11.5,light rain
292,Almaznyy,RU,48.0448,40.045,33.94,84,54,8.14,broken clouds
293,Talnakh,RU,69.4865,88.3972,-26.61,98,96,7.52,overcast clouds
294,Talcahuano,CL,-36.7167,-73.1167,56.88,82,90,9.22,overcast clouds
295,Bowen,AU,-20.0167,148.2333,82.62,67,7,7.09,clear sky
296,San Vicente De Canete,PE,-13.0751,-76.3835,67.62,86,77,7.23,moderate rain
297,Jaru,BR,-10.4389,-62.4664,76.57,92,71,3.91,broken clouds
298,Itaituba,BR,-4.2761,-55.9836,79.29,83,91,0.63,overcast clouds
299,Hasaki,JP,35.7333,140.8333,36.0,62,0,6.29,clear sky
300,Rajbiraj,NP,26.5333,86.75,60.48,59,0,6.44,clear sky
301,Chokurdakh,RU,70.6333,147.9167,-47.36,100,77,3.67,broken clouds
302,Fukue,JP,32.6881,128.8419,59.31,64,99,6.82,overcast clouds
303,Mpophomeni,ZA,-29.5682,30.1862,64.31,93,98,5.55,overcast clouds
304,Alexandria,EG,31.2156,29.9553,57.74,88,0,3.44,clear sky
305,Zhuhai,CN,22.2769,113.5678,69.06,77,20,10.36,few clouds
306,Yambio,SS,4.5721,28.3955,74.16,46,85,1.77,overcast clouds
307,Balkanabat,TM,39.5108,54.3671,50.72,74,39,0.74,scattered clouds
308,Altamont,US,42.2068,-121.7372,40.89,52,84,3.0,broken clouds
309,Santiago Del Estero,AR,-27.7951,-64.2615,79.81,32,25,11.86,scattered clouds
310,Talaya,RU,61.3833,152.75,-22.09,93,76,1.14,broken clouds
311,Orlik,RU,52.5178,99.825,-16.01,95,29,2.89,scattered clouds
312,Ayan,RU,56.45,138.1667,9.0,60,53,7.09,broken clouds
313,Kushima,JP,31.4583,131.2333,45.91,82,12,3.65,few clouds
314,Emilio Carranza,MX,19.9711,-96.6114,79.81,78,21,12.77,few clouds
315,Boyolangu,ID,-8.1181,111.8935,76.84,90,97,2.66,overcast clouds
316,Moose Factory,CA,51.2585,-80.6094,22.98,80,1,8.05,clear sky
317,Vostok,RU,46.4856,135.8833,23.13,98,100,3.24,light snow
318,Severo-Yeniseyskiy,RU,60.3725,93.0408,-1.82,96,99,5.19,overcast clouds
319,Sechura,PE,-5.5569,-80.8222,74.21,68,77,15.77,broken clouds
320,Kirakira,SB,-10.4544,161.9205,82.63,81,99,4.76,light rain
321,Charters Towers,AU,-20.1,146.2667,85.01,38,2,0.83,clear sky
322,Pinheiro Machado,BR,-31.5783,-53.3811,63.05,80,100,12.01,overcast clouds
323,Lunsar,SL,8.6833,-12.5333,76.03,87,40,1.39,scattered clouds
324,Springfield,US,37.2153,-93.2982,71.62,70,96,10.0,overcast clouds
325,Klaksvik,FO,62.2266,-6.589,41.92,78,23,14.0,few clouds
326,Puerto Escondido,MX,15.85,-97.0667,83.73,72,53,7.74,broken clouds
327,Coquimbo,CL,-29.9533,-71.3436,62.33,72,90,8.05,overcast clouds
328,Hambantota,LK,6.1241,81.1185,76.77,86,87,14.05,overcast clouds
329,Brazzaville,CG,-4.2658,15.2832,75.79,84,77,0.69,broken clouds
330,Pitimbu,BR,-7.4706,-34.8086,81.19,75,61,12.12,broken clouds
331,Mitsamiouli,KM,-11.3847,43.2844,79.2,80,9,11.21,clear sky
332,Mnogovershinnyy,RU,53.9353,139.9242,19.78,97,100,4.56,light snow
333,Khani,GE,41.9563,42.9566,40.57,61,1,8.43,clear sky
334,Bethel,US,41.3712,-73.414,44.1,77,55,1.16,broken clouds
335,Lasa,IT,46.6166,10.7002,27.34,92,100,6.26,overcast clouds
336,Johnson City,US,36.3134,-82.3535,57.18,78,90,0.0,overcast clouds
337,Margate,GB,51.3813,1.3862,40.69,84,4,5.99,clear sky
338,Ler,SS,8.3018,30.1418,79.25,31,4,6.24,clear sky
339,Matinhos,BR,-25.8175,-48.5428,73.22,79,14,4.68,few clouds
340,Leshukonskoye,RU,64.8989,45.7622,8.62,92,83,7.31,broken clouds
341,Vestmannaeyjar,IS,63.4427,-20.2734,41.04,81,100,35.25,overcast clouds
342,Steamboat Springs,US,40.485,-106.8317,18.27,83,90,14.97,light snow
343,Coihaique,CL,-45.5752,-72.0662,71.55,33,75,8.05,broken clouds
344,Kamenka,RU,51.3223,42.7678,29.75,80,56,6.71,broken clouds
345,Idrinskoye,RU,54.3708,92.1358,-3.28,100,94,3.58,overcast clouds
