City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
664,San Juan,AR,82.56,clear sky,-31.5375,-68.5364,Hotel Provincial
666,Bandarbeyla,SO,75.34,clear sky,9.4942,50.8122,JABIR HOTEL
667,Dovers,VC,80.22,clear sky,12.8833,-61.1833,Ocean Breeze
671,Ranot,TH,78.64,overcast clouds,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
673,Aburi,GH,76.06,few clouds,5.8472,-0.1775,Peduasi Hills Vila
679,Male,MV,82.0,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
680,Uruguaiana,BR,78.73,overcast clouds,-29.7547,-57.0883,Fares Turis Hotel
682,Paulo Ramos,BR,77.47,light rain,-4.2167,-45.1833,Hotel milena
685,Wajid,SO,75.34,scattered clouds,3.8093,43.2471,xamdihotelresturant114
686,Poum,NC,82.51,overcast clouds,-20.2333,164.0167,Gîte kajeon
687,Colinas,BR,75.38,overcast clouds,-6.0258,-44.2492,Pousada do Nonatinho
